ifsc,bank_id,branch,address,city,district,state
ABHY0065055,60,VIRAR,"GRND & 1ST FLOOR, MATAJI KRUPA, OPP. MAHANAGARPALIKA LIBRARY, PHOOL PADA ROAD,VIRAR (E), DIST THANE 401303",THANE,THANE,MAHARASHTRA
ABHY0065056,60,SEAWOOD,"SHOP NO. 13 TO 15, GIRIRAJ CO-OP HSG SOCIETY LTD., PLOT NO.7&8, SECTOR NO.44, NRI SEAWOOD ROAD, SEAWOOD, NERUL 400706",MUMBAI,GREATER MUMBAI,MAHARASHTRA
ABHY0065057,60,OWALE,"SIDDHIVINAYAK ARCADE, KAILASH TOWER, OWALE VILLAGE, OWALA NAKA, GHODBUNDER ROAD, THANE 400605.",THANE,THANE,MAHARASHTRA
ABHY0065058,60,ANTOP HILL,"SHOP NO..34 & 35, GROUND FLOOR, BLDG NO. B-2, KALPAK ESTATE, SHAIKH MISTRY ROAD, ANTOP HILL, MUMBAI 400037",MUMBAI,GREATER MUMBAI,MAHARASHTRA
ABHY0065059,60,NALLASOPARA,"SHOP NO. 1 & 2, GROUND FLOOR, OLIVE APARTMENT, BLDG.NO.06, SECTOR VII, NALLASOPARA, TAL VASAI, DIST THANE.",THANE,THANE,MAHARASHTRA
ABHY0065060,60,DIVALE CBD,"SHOP NO 8A & 9, GROUND FLOOR, SAI SANGAM, SECTOR-15, SAKAL BHAVAN MARG, CBD BELAPUR, NAVI MUMBAI 400 614",MUMBAI,GREATER MUMBAI,MAHARASHTRA
ABHY0065061,60,KHANDA COLONY,"SHOP NO.30 TO 33, GROUND FLOOR, SHREEJI SANGH, SECTOR - 7, PLOT NO. 15/16 KHANDA COLONY, PANVEL 410206",PANVEL,RAIGAD,MAHARASHTRA
ABHY0065062,60,KALWA,"MILESTONE CORPORATE PARK, DATTAWADI, OLD MUMBAI ROAD, KALWA (W) DIST. THANE 400 605",THANE,THANE,MAHARASHTRA
ABHY0065063,60,DOMBIVLI (WEST),"JANKI HEIGHTS OPP. SHIV SENA SHAKA, DEENDAYAL ROAD, DOMBIVALI (WEST), DIS THANE 421202",DOMBIVLI,THANE,MAHARASHTRA
ABHY0065064,60,GOREGAON WEST,"SHOP NO.2,3,5 & 6A, VRINDAVAN CHS LTD., BUILDING NO.9, SHASTRI NAGAR ROAD NO.1, GOREGAON (W), MUMBAI 400 104.",MUMBAI,GREATER BOMBAY,MAHARASHTRA
